,name,rating,reviews,type,hq,old,employees
4147,Azure Hospitalit...,4.4,(129 Reviews),Private,"Delhi,NCT + 8 more",14 years old,201-500 Employees (India)
4148,Gujarat Narmada ...,4.3,(129 Reviews),Private,Bharuch + 10 more,47 years old,1k-5k Employees (India)
4149,Abellon Clean En...,3.7,(129 Reviews),Public,"Ahmedabad,Gujrat + 14 more",15 years old,501-1k Employees (India)
4150,Indo Nissin Food...,4.3,(129 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 25 more",65 years old,201-500 Employees (India)
4151,Protiviti India ...,3.4,(129 Reviews),Private,"Menlo Park,California + 14 more",75 years old,501-1k Employees (India)
4152,Avantor,3.9,(129 Reviews),Private,"Radnor Township,Pennsylvania + 16 more",32 years old,1k-5k Employees (India)
4153,Enzen Global Sol...,4.0,(129 Reviews),Private,Bangalore + 11 more,17 years old,201-500 Employees (India)
4154,Xrbia Developers,2.8,(129 Reviews),Private,"Pune,Maharashtra + 6 more",11 years old,201-500 Employees (India)
4155,MUNDRA SOLAR TEC...,4.0,(129 Reviews),Ahmedabad + 8 more,8 years old,201-500 Employees (India),
4156,Sembcorp Energy ...,4.2,(129 Reviews),Public,"Gurgaon/Gurugram,Haryana + 7 more",15 years old,501-1k Employees (India)
4157,Hyderabad Metro ...,4.0,(129 Reviews),Private,Hyderabad + 3 more,13 years old,5k-10k Employees (India)
4158,Jagatjit Industr...,3.9,(129 Reviews),Public,"Kapurthala ,Punjab + 19 more",79 years old,1k-5k Employees (India)
4159,Kd Logistics,4.1,(129 Reviews),"Mumbai,Maharashtra + 22 more",18 years old,1k-5k Employees (India),
4160,SPIE Oil & Gas S...,4.1,(129 Reviews),Private,"Cergy,Val Doise + 11 more",19 years old,51-200 Employees (India)
4161,Optimum Infosyst...,4.1,(129 Reviews),Private,Singapore + 9 more,26 years old,1k-5k Employees (India)
4162,Sterling Oil Exp...,3.8,(129 Reviews),Private,Lagos + 4 more,18 years old,51-200 Employees (India)
4163,Expertrons,3.5,(129 Reviews),"Mumbai,Maharashtra + 4 more",4 years old,201-500 Employees (India),
4164,JGC Corporation,4.4,(149 Reviews),Private,Kanagawa + 11 more,95 years old,5k-10k Employees (Global)
4165,Terex,3.9,(128 Reviews),Private,"Westport,Connecticut + 15 more",90 years old,501-1k Employees (India)
4166,Incrementors Web...,4.4,(128 Reviews),Private,New Delhi,19 years old,51-200 Employees (India)
4167,Karam Industries,4.1,(128 Reviews),Private,"Noida,Uttar Pradesh + 17 more",25 years old,11-50 Employees (India)
4168,SA Infrastructur...,4.1,(128 Reviews),Private,"Noida,Uttar Pradesh + 28 more",18 years old,1k-5k Employees (India)
4169,Razorpay,4.0,(128 Reviews),Private,"Bangalore,Karnataka + 6 more",9 years old,1k-5k Employees (India)
4170,Toyota Material ...,4.0,(128 Reviews),Private,"Gurgaon/Gurugram,Haryana + 18 more",67 years old,201-500 Employees (India)
4171,Webtel Electroso...,4.0,(128 Reviews),Private,"Delhi/NCR,Delhi + 9 more",23 years old,201-500 Employees (India)
4172,Nalco,4.4,(128 Reviews),Private,"Bhubaneswar,Odisha + 10 more",42 years old,501-1k Employees (India)
4173,BEO Software,4.8,(128 Reviews),"Kochi/Cochin,Kerala",20 years old,201-500 Employees (India),
4174,Sunshine Hospita...,4.3,(128 Reviews),Private,"Secunderabad,Andhra Pradesh + 9 more",14 years old,201-500 Employees (India)
4175,Gulf Spic Genera...,4.0,(128 Reviews),Private,"Fahaheel,Ahmadi + 6 more",26 years old,5k-10k Employees (Global)
4176,Technocon Servic...,3.4,(128 Reviews),Private,"Kolkata,West Bengal + 18 more",41 years old,51-200 Employees (India)
4177,Colourtex,4.3,(128 Reviews),Private,"Surat,Gujrat + 6 more",56 years old,501-1k Employees (India)
4178,Saregama India,3.5,(128 Reviews),Public,"Kolkata,West Bengal + 26 more",122 years old,201-500 Employees (India)
4179,Entab Infotech,2.9,(128 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",22 years old,51-200 Employees (India)
4180,APC By Schneider...,4.1,(128 Reviews),Private,"West Kingston,RI + 13 more",42 years old,10k-50k Employees (India)
4181,Jodas Expoim,3.5,(128 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",17 years old,201-500 Employees (India)
4182,Sun Direct TV,4.3,(128 Reviews),Private,"Chennai,Tamil Nadu + 30 more",16 years old,1k-5k Employees (India)
4183,Karam Industries,4.1,(128 Reviews),Private,"Noida,Uttar Pradesh + 17 more",25 years old,11-50 Employees (India)
4184,Uttam Value Stee...,4.0,(128 Reviews),Public,Mumbai + 5 more,49 years old,1k-5k Employees (India)
4185,Terex,3.9,(128 Reviews),Private,"Westport,Connecticut + 15 more",90 years old,501-1k Employees (India)
4186,SA Infrastructur...,4.1,(128 Reviews),Private,"Noida,Uttar Pradesh + 28 more",18 years old,1k-5k Employees (India)
4187,Aeries Technolog...,4.0,(128 Reviews),Private,"Mumbai,Maharashtra + 4 more",11 years old,1k-5k Employees (India)
4188,Blue Cross Labor...,4.0,(128 Reviews),Public,"Mumbai,Maharashtra + 22 more",43 years old,1k-5k Employees (India)
4189,Xanadu,3.2,(128 Reviews),Private,"Mumbai,Maharashtra + 8 more",8 years old,501-1k Employees (India)
4190,Trigo Quality Pr...,2.7,(128 Reviews),Private,"Tel Aviv,Tel Aviv + 18 more",26 years old,11-50 Employees (India)
4191,B S R & Co Llp,3.4,(128 Reviews),Mumbai + 16 more,5k-10k Employees (India),,
4192,Reecomps Teleser...,3.6,(128 Reviews),Private,Allahabad + 25 more,25 years old,1k-5k Employees (Global)
4193,Accurate Enginee...,3.3,(128 Reviews),"Pune,Maharashtra + 17 more",60 years old,51-200 Employees (India),
4194,Aksentt Tech Ser...,4.5,(128 Reviews),Public,"Mumbai,Maharashtra + 5 more",16 years old,1k-5k Employees (India)
4195,BrightCHAMPS,3.8,(128 Reviews),"Bangalore,Karnataka + 14 more",3 years old,501-1k Employees (India),
4196,Anlage Infotech,4.1,(128 Reviews),Private,"Mumbai,Maharashtra + 11 more",27 years old,11-50 Employees (India)
4197,Henkel,4.3,(362 Reviews),Private,"Mumbai,Maharashtra + 21 more",58 years old,501-1k Employees (India)
4198,Keller Ground En...,4.3,(127 Reviews),Private,London + 15 more,163 years old,501-1k Employees (India)
4199,Sud Life Insuran...,3.9,(127 Reviews),Navi Mumbai + 55 more,14 years old,1k-5k Employees (Global),
4200,Apcer Life Scien...,3.7,(127 Reviews),"Princeton,New Jersey",16 years old,51-200 Employees (India),
4201,MITA,3.6,(127 Reviews),Private,Cambridge + 5 more,24 years old,51-200 Employees (India)
4202,Oriental Aromati...,3.2,(127 Reviews),Public,"Mumbai,Maharashtra + 4 more",68 years old,501-1k Employees (India)
4203,Vedika Credit Ca...,4.1,(127 Reviews),Public,"Ranchi,Jharkhand + 30 more",28 years old,1k-5k Employees (India)
4204,Moolchand Medcit...,3.2,(127 Reviews),Private,"Delhi/NCR,New Delhi + 2 more",17 years old,51-200 Employees (India)
4205,Star Wire India,4.1,(127 Reviews),Private,"Faridabad,Haryana + 1 more",42 years old,501-1k Employees (India)
4206,Metriqe Solution...,4.1,(127 Reviews),Private,Irving,16 years old,201-500 Employees (India)
4207,Indian Council o...,4.1,(127 Reviews),Private,New Delhi + 35 more,94 years old,501-1k Employees (India)
4208,Praxis Services,3.2,(127 Reviews),Private,Gurugram + 2 more,12 years old,201-500 Employees (Global)
